,ticker_symbol,day_date,close_value
350,AAPL,2019-01-08,150.75
351,AAPL,2019-01-07,147.93
352,AAPL,2019-01-04,148.26
353,AAPL,2019-01-03,142.19
354,AAPL,2019-01-02,157.92
355,AAPL,2018-12-31,157.74
356,AAPL,2018-12-28,156.23
357,AAPL,2018-12-27,156.15
358,AAPL,2018-12-26,157.17
359,AAPL,2018-12-24,146.83
360,AAPL,2018-12-21,150.73
361,AAPL,2018-12-20,156.83
362,AAPL,2018-12-19,160.89
363,AAPL,2018-12-18,166.07
364,AAPL,2018-12-17,163.94
365,AAPL,2018-12-14,165.48
366,AAPL,2018-12-13,170.95
367,AAPL,2018-12-12,169.1
368,AAPL,2018-12-11,168.63
369,AAPL,2018-12-10,169.6
370,AAPL,2018-12-07,168.49
371,AAPL,2018-12-06,174.72
372,AAPL,2018-12-04,176.69
373,AAPL,2018-12-03,184.82
374,AAPL,2018-11-30,178.58
375,AAPL,2018-11-29,179.55
376,AAPL,2018-11-28,180.94
377,AAPL,2018-11-27,174.24
378,AAPL,2018-11-26,174.62
379,AAPL,2018-11-23,172.29
380,AAPL,2018-11-21,176.78
381,AAPL,2018-11-20,176.98
382,AAPL,2018-11-19,185.86
383,AAPL,2018-11-16,193.53
384,AAPL,2018-11-15,191.41
385,AAPL,2018-11-14,186.8
386,AAPL,2018-11-13,192.23
387,AAPL,2018-11-12,194.17
388,AAPL,2018-11-09,204.47
389,AAPL,2018-11-08,208.49
390,AAPL,2018-11-07,209.95
391,AAPL,2018-11-06,203.77
392,AAPL,2018-11-05,201.59
393,AAPL,2018-11-02,207.48
394,AAPL,2018-11-01,222.22
395,AAPL,2018-10-31,218.86
396,AAPL,2018-10-30,213.3
397,AAPL,2018-10-29,212.24
398,AAPL,2018-10-26,216.3
399,AAPL,2018-10-25,219.8
400,AAPL,2018-10-24,215.09
401,AAPL,2018-10-23,222.73
402,AAPL,2018-10-22,220.65
403,AAPL,2018-10-19,219.31
404,AAPL,2018-10-18,216.02
405,AAPL,2018-10-17,221.19
406,AAPL,2018-10-16,222.15
407,AAPL,2018-10-15,217.36
408,AAPL,2018-10-12,222.11
409,AAPL,2018-10-11,214.45
410,AAPL,2018-10-10,216.36
411,AAPL,2018-10-09,226.87
412,AAPL,2018-10-08,223.77
413,AAPL,2018-10-05,224.29
414,AAPL,2018-10-04,227.99
415,AAPL,2018-10-03,232.07
416,AAPL,2018-10-02,229.28
417,AAPL,2018-10-01,227.26
418,AAPL,2018-09-28,225.74
419,AAPL,2018-09-27,224.95
420,AAPL,2018-09-26,220.42
